Price,Close,High,Low,Open,Volume
Ticker,ASML.AS,ASML.AS,ASML.AS,ASML.AS,ASML.AS
Date,,,,,
2014-08-27,65.56005096435547,65.71412325309788,65.28817211206268,65.59630286086296,601724
2014-08-28,65.7503662109375,65.99505783616976,65.36066701938884,65.65067523768032,873882
2014-08-29,65.9859848022461,66.11286294958062,65.24283840456941,66.004114202917,895927
2014-09-01,66.67477416992188,66.83790424669088,65.9406922816325,66.15819674587708,753489
2014-09-02,68.7048110961914,69.9010956576021,65.9225428480591,66.83788394041082,2022135
2014-09-03,67.92542266845703,69.88298327803936,67.63541445751979,69.14890150661657,1760640
2014-09-04,69.10359191894531,69.48422643794206,67.43604626562141,67.57198222644749,1920349
2014-09-05,68.40575408935547,68.77732386339055,68.06136459001348,68.77732386339055,1090055
2014-09-08,68.50543975830078,68.66856981068993,67.99792711279733,68.40575570094079,596580
2014-09-09,68.40575408935547,69.05826736919813,68.36043749807119,68.55075473565127,766356
2014-09-10,68.24260711669922,68.46011148937254,67.55383520317116,68.12478677431587,502013
2014-09-11,68.72294616699219,68.73200395333885,68.15198756748,68.43293797406277,723176
2014-09-12,69.73798370361328,69.8558040903388,68.9857793578691,69.05827623315179,742022
2014-09-15,70.0098648071289,70.29987303202168,68.75014093203144,69.21234391725918,986696
2014-09-16,70.04610443115234,70.23642164718517,69.39358431084534,69.89203910117438,861692
2014-09-17,70.22735595703125,71.39645333704281,70.22735595703125,70.68955885478935,1107250
2014-09-18,71.49616241455078,71.63210529120994,70.14581217891143,70.39956852769285,1058523
2014-09-19,71.3239517211914,71.98553655226175,70.79831665077349,71.98553655226175,2040882
2014-09-22,70.70767974853516,71.5052073838633,70.52642723923695,71.24238640534288,813408
2014-09-23,69.60203552246094,70.44487291444803,69.3482723033225,70.2364262844552,1474746
2014-09-24,70.84365844726562,70.89803975905379,69.36642969715676,69.77425150667864,1205814
2014-09-25,70.48111724853516,71.0792630309902,70.19110905792259,70.72581576475427,984911
2014-09-26,71.19707489013672,71.36926962626842,69.88297681830988,70.68956229649444,783713
2014-09-29,71.19707489013672,71.5686515492966,70.36330222505569,71.20613959054904,921176
2014-09-30,71.4327163696289,71.90397712655785,70.79832555946663,71.28771571916664,1307807
2014-10-01,70.23643493652344,71.76804456901887,70.11862147030901,70.87082577666509,1092874
2014-10-02,68.69575500488281,70.96144604179398,68.4782436870143,69.78328393686404,1821555
2014-10-03,70.78021240234375,71.07022068417295,69.33017099319773,69.38454538530856,1124521
